Lag0,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6
0,2.1921,1.9623,10.196,17.133,5.425,-5.6018
0,-1.7837,-4.9505,-3.6597,-0.17083,-8.6469,-16.655
0,0.92211,2.4661,9.932,16.904,16.429,11.768
0,2.4084,3.0254,7.7546,4.6189,-3.7988,-11.39
0,0.21691,1.3536,8.2032,7.9723,0.21928,-4.8896
0,0.76966,0.97837,13.33,13.745,1.0411,-7.1519
0,-1.5676,1.1588,4.9866,3.6124,2.9975,-5.5008
0,1.6309,4.3123,11.671,15.136,8.5354,3.3137
0,1.5841,6.4386,18.654,18.997,22.051,9.3704
0,-0.87807,2.657,11.901,10.756,-2.5319,-4.4348
0,-1.6395,-0.90634,10.462,9.6298,0.90601,-8.7921
0,-0.43276,-1.0154,-3.0906,-2.5181,0.4981,2.7834
0,-0.3878,0.64681,4.1155,4.9178,5.3776,8.3622
0,1.5543,3.0286,11.164,10.835,4.2122,1.9208
0,0.26739,-2.484,-6.4201,-2.1745,1.0367,0.22033
0,0.60538,-0.16945,5.3204,15.467,11.44,6.3131
0,1.848,3.8733,11.106,16.175,13.497,11.434
0,-2.9037,-4.4561,-7.8397,-9.9092,-13.157,-14.032
0,1.6441,4.468,17.909,6.91,10.793,-5.729
0,1.3594,4.8338,15.691,7.3455,5.4656,-11.157
0,-0.26041,1.879,3.72,-4.5624,-1.8546,-7.1515
0,1.4502,3.8499,8.0503,-0.042227,4.5389,-7.3422
0,2.0077,3.1772,6.5681,4.1743,12.608,5.2284
0,1.1924,4.5379,14.838,8.7481,18.456,4.2446
0,2.1384,6.2699,15.713,9.0726,28.91,23.788
0,1.2177,3.2934,8.8306,-4.8137,-12.222,-34.377
0,1.5897,2.6185,5.8602,3.7403,-1.7833,-7.6725
0,1.2879,3.3175,8.3655,6.3258,-2.9528,-9.1124
0,-0.18368,2.3256,8.2873,4.8328,-8.1789,-11.815
0,1.053,3.0089,3.9505,1.6993,-9.0205,-11.922
0,2.8959,0.47075,-0.96819,1.9718,-2.3174,-7.8855
0,0.20621,3.1057,8.2712,7.761,4.3406,4.8209
0,1.7219,6.5232,10.092,16.681,23.694,26.306
0,-0.90228,0.3468,-3.368,2.7658,4.2575,8.0569
0,-0.41897,-1.4339,5.3884,10.251,-6.1231,2.887
0,-0.34964,0.61286,9.2164,8.2825,-5.0957,-12.576
0,-1.9378,-0.68964,7.0591,10.404,0.73211,-15.392
0,-1.8433,-0.13799,7.9612,19.83,23.131,13.845
0,-0.65805,2.5122,8.5511,10.972,-0.0085629,-4.1575
0,-0.079106,4.0401,17.101,14.313,7.2641,11.8
0,0.17769,3.24,12.816,14.113,16.022,3.7542
0,-2.2805,0.93233,7.4649,4.6043,6.0377,0.7276
0,-1.3684,-6.1939,-3.2695,3.7189,4.9084,4.0704
0,-0.19094,-5.1466,-5.1992,-0.68103,-5.2781,-11.946
0,1.0973,-0.6293,-2.2528,7.9496,19.249,23.851
0,-2.3266,-6.0167,-9.2189,-2.0472,4.4776,2.8358
0,0.62456,-4.8645,-7.1721,-2.571,-9.0481,-3.8633
0,1.253,-2.4099,-0.37919,6.8465,9.5823,8.7115
0,0.11087,-5.8516,-6.4019,4.494,18.903,22.872
0,0.65212,-4.7583,-10.166,-14.878,-21.26,-15.516
0,-1.7389,-1.9892,-0.16686,1.761,-2.8866,-22.412
0,1.0838,1.0581,7.4872,9.1525,17.555,3.0093
0,-0.70102,1.7846,7.1745,8.1109,2.5735,-1.8464
0,-0.63845,0.4497,7.6298,6.8164,3.1078,-10.087
0,1.0432,3.3514,15.29,9.0496,-2.113,-22.877
0,0.88091,1.6225,0.32712,10.086,23.356,25.637
0,-0.16876,2.5461,12.975,14.653,10.195,2.3072
0,-2.8503,-3.5332,-2.8376,-4.1767,-3.8053,-3.4859
0,-2.0167,-4.3078,-7.8563,1.4495,3.9471,-2.0952
0,0.36592,-0.40492,-1.3398,4.5999,7.073,5.2315
0,1.7813,-1.838,-0.20129,4.9934,1.8474,-11.748
0,-0.009994,1.3637,-2.3898,6.993,14.049,4.7359
0,0.20803,-0.26276,-0.39728,10.031,20.183,6.7889
0,0.65409,0.5881,8.6454,8.6546,6.1612,3.0804
0,2.4691,2.8876,6.6479,11.954,24.758,20.996
0,-1.9707,-3.8227,-4.9879,-9.9351,-20.581,-24.174
