Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Range (mm)	
72	-2.0	-29.0	44.0	Left Cerebrum	Frontal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 31	0	
73	-2.0	-53.0	32.0	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 31	0	
74	38.0	-31.0	42.0	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	1	
75	-42.0	-27.0	47.0	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 40	0	
76	-50.0	-62.0	42.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 39	0	
77	-8.0	-53.0	-9.0	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	0	
78	-8.0	18.0	41.0	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 32	0	
79	-38.0	-26.0	23.0	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	2	
80	26.0	-51.0	-18.0	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	0	
81	-28.0	-5.0	54.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	1	
82	51.0	-57.0	32.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 39	3	
83	-53.0	-10.0	-13.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	2	
84	-42.0	-52.0	43.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
85	-48.0	-55.0	-7.0	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	2	
86	48.0	29.0	6.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 45	3	
87	-44.0	34.0	11.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 46	0	
88	46.0	-45.0	-8.0	Right Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Brodmann area 37	1	
89	-34.0	-3.0	-13.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	4	
90	-32.0	-37.0	-12.0	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 37	0	
91	61.0	-50.0	4.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	2	
92	-38.0	5.0	27.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	1	
93	57.0	-35.0	39.0	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	1	
94	-55.0	-37.0	42.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
95	18.0	-43.0	-1.0	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 19	0	
96	-34.0	-80.0	33.0	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 19	1	
97	-16.0	33.0	-5.0	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	4	
98	-24.0	-3.0	-15.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	0	
99	42.0	15.0	29.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	1	
100	-38.0	0.0	-2.0	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	2	
101	-4.0	-29.0	49.0	Left Cerebrum	Frontal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 5	1	
102	32.0	-1.0	-20.0	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	2	
103	-16.0	-74.0	-3.0	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	0	
104	44.0	-36.0	11.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 41	1	
105	-14.0	-45.0	32.0	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 31	0	
106	-2.0	-60.0	42.0	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	0	
107	-46.0	-53.0	-6.0	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	4	
108	48.0	29.0	4.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 45	3	
109	57.0	-50.0	12.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	0	
110	-40.0	36.0	15.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 46	0	
111	59.0	-35.0	35.0	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
112	34.0	7.0	20.0	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	3	
113	6.0	23.0	-6.0	Right Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 32	1	
114	-16.0	-88.0	32.0	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 19	0	
115	-30.0	-19.0	12.0	Left Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	1	
116	-44.0	-77.0	22.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	1	
117	-20.0	-5.0	15.0	Left Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	2	
118	-6.0	-23.0	40.0	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	1	
119	-28.0	-41.0	-5.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 19	1	
120	12.0	-75.0	-23.0	Right Cerebellum	Posterior Lobe	Pyramis	Gray Matter	*	0	
121	57.0	-16.0	-6.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	1	
122	-30.0	-12.0	-3.0	Left Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	0	
123	-18.0	12.0	-2.0	Left Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	0	
124	-28.0	-68.0	38.0	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 19	2	
125	-2.0	6.0	33.0	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	1	
126	-34.0	2.0	5.0	Left Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	0	
127	12.0	14.0	3.0	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Head	0	
128	-44.0	7.0	25.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	2	
129	-36.0	-7.0	-15.0	Left Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Brodmann area 21	5	
130	4.0	-23.0	45.0	Right Cerebrum	Frontal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 31	0	
131	-34.0	33.0	39.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	2	
132	38.0	-12.0	37.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	4	
133	38.0	-40.0	24.0	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	3	
134	-8.0	-36.0	48.0	Left Cerebrum	Frontal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 5	0	
135	14.0	-16.0	1.0	Right Cerebrum	Sub-lobar	Thalamus	Gray Matter	*	0	
136	24.0	-62.0	44.0	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	0	
137	20.0	-43.0	-1.0	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 19	2	
138	28.0	-41.0	-13.0	Right Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 37	0	
139	-26.0	-13.0	-21.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Hippocampus	2	
140	-14.0	-72.0	-6.0	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	1	
141	8.0	-37.0	44.0	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	2	
142	-28.0	-86.0	21.0	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	0	
143	-4.0	-20.0	56.0	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	1	
144	8.0	-77.0	20.0	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	2	
145	18.0	-86.0	26.0	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	1	
146	-22.0	8.0	0.0	Left Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	0	
147	59.0	-44.0	13.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	2	
148	22.0	-74.0	2.0	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	4	
149	-4.0	10.0	0.0	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Head	0	
150	-26.0	4.0	35.0	No Gray Matter found						
151	12.0	-28.0	-17.0	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	1	
152	4.0	15.0	29.0	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	0	
153	-4.0	-86.0	-2.0	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	1	
154	14.0	11.0	-6.0	Right Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	0	
155	-4.0	-86.0	30.0	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 19	0	
156	51.0	29.0	-1.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	1	
157	-32.0	2.0	4.0	Left Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	1	
158	38.0	-8.0	43.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	1	
159	8.0	-71.0	24.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 31	0	
160	-44.0	-53.0	-4.0	Left Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 19	4	
161	-14.0	-25.0	9.0	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	Pulvinar	0	
162	18.0	-43.0	-1.0	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 19	0	
163	36.0	-47.0	-3.0	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 19	1	
164	-32.0	-68.0	-2.0	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 19	4	
165	26.0	-20.0	62.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	3	
166	34.0	11.0	22.0	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	5	
167	-20.0	-3.0	17.0	Left Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	3	
168	6.0	6.0	11.0	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	0	
169	57.0	-33.0	35.0	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
170	-18.0	47.0	9.0	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	0	
171	42.0	30.0	11.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 46	3	
172	55.0	-16.0	27.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 3	2	
173	-6.0	4.0	11.0	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	0	
174	30.0	37.0	33.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	1	
175	-8.0	-65.0	12.0	Left Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 30	0	
176	-36.0	-10.0	43.0	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	0	
177	-14.0	-85.0	17.0	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 18	0	
178	-40.0	42.0	26.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 46	2	
179	10.0	-25.0	12.0	Right Cerebrum	Sub-lobar	Thalamus	Gray Matter	Pulvinar	0	

