Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Range (mm)	
70	-50.0	-8.0	34.0	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	1	
71	57.0	-6.0	-13.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	2	
72	28.0	-20.0	19.0	Right Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	2	
73	61.0	-7.0	15.0	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 43	0	
74	26.0	-19.0	56.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	3	
75	28.0	-47.0	-4.0	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 19	1	
76	28.0	-16.0	39.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	4	
77	26.0	-30.0	22.0	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	3	
78	-14.0	33.0	43.0	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 8	2	
79	-30.0	20.0	41.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	0	
80	63.0	-23.0	5.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	2	
81	-24.0	-76.0	26.0	Left Cerebrum	Occipital Lobe	Precuneus	Gray Matter	Brodmann area 31	2	
82	16.0	20.0	21.0	Right Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 32	3	
83	24.0	-20.0	67.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	2	
84	-28.0	-77.0	15.0	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	3	
85	12.0	-26.0	71.0	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	4	
86	-20.0	-28.0	57.0	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	0	
87	24.0	24.0	52.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	0	
88	-44.0	37.0	7.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 46	3	
89	48.0	31.0	8.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 46	2	
90	-34.0	-12.0	-6.0	Left Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	0	
91	-57.0	-35.0	44.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
92	-50.0	-54.0	12.0	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 39	0	
93	36.0	4.0	-7.0	Right Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	2	
94	-36.0	46.0	25.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	2	
95	-8.0	-6.0	-3.0	Left Cerebrum	Sub-lobar	*	Gray Matter	Hypothalamus	0	
96	6.0	-37.0	33.0	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	1	
97	26.0	-21.0	42.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	6	
98	51.0	-64.0	44.0	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 39	2	
99	16.0	-19.0	56.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	4	
100	63.0	-1.0	18.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	0	
101	22.0	23.0	23.0	No Gray Matter found						
102	-20.0	-70.0	0.0	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	*	1	
103	24.0	-22.0	66.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	1	
104	-14.0	33.0	43.0	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 8	2	
105	-55.0	-8.0	-11.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	4	
106	-53.0	-37.0	-2.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 22	5	
107	16.0	20.0	45.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	4	
108	12.0	-33.0	74.0	No Gray Matter found						
109	24.0	-40.0	63.0	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 5	1	
110	-14.0	-4.0	37.0	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	3	
111	-55.0	-8.0	28.0	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	2	
