Clu#,Lag,X,Y,Z,X(mm),Y(mm),Z(mm),BSR,Appro.P,Clu_Size(voxels),Record#,X coor,Y coor,Z coor,Level 1,Level 2,Level 3,Level 4,Level 5,Range (mm)
69,2,37,38,53,-18,-52,32,5.9794,0,618,69,-18,-49,32,Left Cerebrum,Parietal Lobe,Precuneus,Gray Matter,Brodmann area 31,3
70,2,37,56,28,-18,-16,-18,5.7357,0,104,70,-18,-16,-14,Left Cerebrum,Limbic Lobe,Parahippocampal Gyrus,Gray Matter,Brodmann area 28,0
71,2,55,59,61,18,-10,48,5.7285,0,125,71,18,-7,45,Right Cerebrum,Limbic Lobe,Cingulate Gyrus,Gray Matter,Brodmann area 24,2
72,2,19,58,47,-54,-12,20,5.4171,0,264,72,-53,-11,19,Left Cerebrum,Parietal Lobe,Postcentral Gyrus,Gray Matter,Brodmann area 43,2
73,2,46,67,33,0,6,-8,5.1873,0,16,73,0,5,-7,Left Cerebrum,Limbic Lobe,Anterior Cingulate,Gray Matter,Brodmann area 25,1
74,2,66,58,29,40,-12,-16,4.9549,0,109,74,40,-12,-13,Right Cerebrum,Temporal Lobe,Sub-Gyral,Gray Matter,Brodmann area 21,3
75,2,34,56,49,-24,-16,24,4.8674,0,632,75,-24,-14,23,No Gray Matter found,,,,,
76,2,74,58,46,56,-12,18,4.8547,0,128,76,55,-11,17,Right Cerebrum,Parietal Lobe,Postcentral Gyrus,Gray Matter,Brodmann area 43,1
77,2,56,35,31,20,-58,-12,4.8443,0,213,77,20,-57,-7,Right Cerebellum,Anterior Lobe,Culmen,Gray Matter,*,0
78,2,49,34,27,6,-60,-20,4.7928,0,35,78,6,-59,-14,Right Cerebellum,Posterior Lobe,Declive,Gray Matter,*,0
79,2,60,35,69,28,-58,64,4.6354,0,142,79,28,-53,62,Right Cerebrum,Parietal Lobe,Superior Parietal Lobule,Gray Matter,Brodmann area 7,0
