Clu#,Lag,X,Y,Z,X(mm),Y(mm),Z(mm),BSR,Appro.P,Clu_Size(voxels),Record Number,X coor,Y coor,Z coor,Level 1,Level 2,Level 3,Level 4,Level 5,Range (mm)
43,1,27,72,42,-38,16,10,-3.8308,0.0001,18,43,-38,16,8,Left Cerebrum,Sub-lobar,Insula,Gray Matter,Brodmann area 13,0
44,1,29,47,69,-34,-34,64,-3.737,0.0002,10,44,-34,-30,60,Left Cerebrum,Parietal Lobe,Postcentral Gyrus,Gray Matter,Brodmann area 3,2
45,1,49,69,53,6,10,32,-3.6271,0.0003,17,45,6,11,29,Right Cerebrum,Limbic Lobe,Cingulate Gyrus,Gray Matter,Brodmann area 24,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
46,2,62,79,37,32,30,0,6.1522,0,34,46,32,29,-1,Right Cerebrum,Frontal Lobe,Inferior Frontal Gyrus,Gray Matter,Brodmann area 47,2
47,2,70,31,52,48,-66,30,5.7228,0,196,47,48,-63,31,Right Cerebrum,Temporal Lobe,Middle Temporal Gyrus,Gray Matter,Brodmann area 39,2
48,2,34,40,52,-24,-48,30,5.5343,0,23,48,-24,-45,30,Left Cerebrum,Limbic Lobe,Cingulate Gyrus,Gray Matter,Brodmann area 31,5
49,2,57,51,50,22,-26,26,5.1133,0,39,49,22,-24,25,Right Cerebrum,Sub-lobar,Caudate,Gray Matter,Caudate Body,2
50,2,68,44,36,44,-40,-2,4.9908,0,26,50,44,-39,0,Right Cerebrum,Temporal Lobe,Superior Temporal Gyrus,Gray Matter,Brodmann area 22,5
51,2,65,71,43,38,14,12,4.9533,0,12,51,38,14,10,Right Cerebrum,Sub-lobar,Insula,Gray Matter,Brodmann area 13,0
52,2,41,54,52,-10,-20,30,4.6437,0,12,52,-10,-18,29,Left Cerebrum,Sub-lobar,Caudate,Gray Matter,Caudate Body,5
53,2,63,36,40,34,-56,6,4.6254,0,37,53,34,-54,8,No Gray Matter found,,,,,
54,2,52,78,39,12,28,4,4.5117,0,123,54,12,27,2,Right Cerebrum,Sub-lobar,Caudate,Gray Matter,Caudate Head,5
55,2,38,78,46,-16,28,18,4.3916,0,13,55,-16,28,15,Left Cerebrum,Limbic Lobe,Anterior Cingulate,Gray Matter,Brodmann area 32,4
56,2,57,50,57,22,-28,40,4.2268,0,15,56,22,-25,38,Right Cerebrum,Limbic Lobe,Cingulate Gyrus,Gray Matter,Brodmann area 31,2
57,2,41,48,57,-10,-32,40,4.2247,0,12,57,-10,-29,38,Left Cerebrum,Limbic Lobe,Cingulate Gyrus,Gray Matter,Brodmann area 31,2
58,2,63,28,34,34,-72,-6,4.1557,0,11,58,34,-70,-2,Right Cerebrum,Occipital Lobe,Lingual Gyrus,Gray Matter,Brodmann area 18,5
59,2,27,32,26,-38,-64,-22,4.111,0,12,59,-38,-63,-15,Left Cerebellum,Posterior Lobe,Declive,Gray Matter,*,0
60,2,62,42,61,32,-44,48,4.0567,0,15,60,32,-40,46,Right Cerebrum,Parietal Lobe,Inferior Parietal Lobule,Gray Matter,Brodmann area 40,4
61,2,64,74,48,36,20,22,4.0151,0.0001,25,61,36,20,19,No Gray Matter found,,,,,
62,2,55,45,31,18,-38,-12,-5.7851,0,74,62,18,-37,-8,Right Cerebellum,Anterior Lobe,Culmen,Gray Matter,*,1
63,2,38,44,30,-16,-40,-14,-5.4909,0,38,63,-16,-39,-10,Left Cerebellum,Anterior Lobe,Culmen,Gray Matter,*,0
64,2,51,56,27,10,-16,-20,-5.4054,0,33,64,10,-16,-16,No Gray Matter found,,,,,
65,2,31,22,39,-30,-84,4,-5.2107,0,38,65,-30,-81,8,Left Cerebrum,Occipital Lobe,Middle Occipital Gyrus,Gray Matter,Brodmann area 19,2
66,2,29,67,63,-34,6,52,-5.0856,0,121,66,-34,8,47,Left Cerebrum,Frontal Lobe,Middle Frontal Gyrus,Gray Matter,Brodmann area 6,1
67,2,41,51,66,-10,-26,58,-4.7045,0,24,67,-10,-23,55,Left Cerebrum,Frontal Lobe,Medial Frontal Gyrus,Gray Matter,Brodmann area 6,2
68,2,20,37,43,-52,-54,12,-4.5141,0,69,68,-51,-52,14,Left Cerebrum,Temporal Lobe,Superior Temporal Gyrus,Gray Matter,Brodmann area 39,1
69,2,68,63,37,44,-2,0,-4.5024,0,50,69,44,-2,0,Right Cerebrum,Sub-lobar,Insula,Gray Matter,Brodmann area 13,0
70,2,54,82,57,16,36,40,-4.3993,0,16,70,16,37,35,Right Cerebrum,Frontal Lobe,Superior Frontal Gyrus,Gray Matter,Brodmann area 9,3
71,2,32,59,35,-28,-10,-4,-4.3313,0,37,71,-28,-10,-3,Left Cerebrum,Sub-lobar,Lentiform Nucleus,Gray Matter,Putamen,0
72,2,38,40,71,-16,-48,68,-4.0429,0.0001,34,72,-16,-43,65,Left Cerebrum,Parietal Lobe,Postcentral Gyrus,Gray Matter,Brodmann area 5,2
73,2,31,51,61,-30,-26,48,-4.0195,0.0001,10,73,-30,-23,45,Left Cerebrum,Parietal Lobe,Postcentral Gyrus,Gray Matter,Brodmann area 3,0
74,2,30,72,53,-32,16,32,-3.7257,0.0002,11,74,-32,17,29,Left Cerebrum,Frontal Lobe,Middle Frontal Gyrus,Gray Matter,Brodmann area 9,3
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
75,3,65,27,33,38,-74,-8,6.4416,0,28,75,38,-72,-3,Right Cerebrum,Occipital Lobe,Inferior Occipital Gyrus,Gray Matter,Brodmann area 19,2
76,3,35,41,53,-22,-46,32,5.5089,0,30,76,-22,-43,32,Left Cerebrum,Limbic Lobe,Cingulate Gyrus,Gray Matter,Brodmann area 31,3
77,3,29,80,36,-34,32,-2,5.4766,0,79,77,-34,31,-3,Left Cerebrum,Frontal Lobe,Inferior Frontal Gyrus,Gray Matter,Brodmann area 47,1
78,3,66,34,30,40,-60,-14,4.8256,0,44,78,40,-59,-9,Right Cerebrum,Temporal Lobe,Fusiform Gyrus,Gray Matter,Brodmann area 37,2
79,3,45,78,39,-2,28,4,4.7961,0,46,79,-2,27,2,Left Cerebrum,Limbic Lobe,Anterior Cingulate,Gray Matter,*,3
80,3,55,76,47,18,24,20,4.7498,0,132,80,18,24,17,Right Cerebrum,Sub-lobar,Caudate,Gray Matter,Caudate Body,5
81,3,36,68,53,-20,8,32,4.7183,0,37,81,-20,9,29,Left Cerebrum,Limbic Lobe,Cingulate Gyrus,Gray Matter,Brodmann area 32,5
82,3,57,49,55,22,-30,36,4.6668,0,15,82,22,-27,35,Right Cerebrum,Limbic Lobe,Cingulate Gyrus,Gray Matter,Brodmann area 31,3
83,3,61,77,38,30,26,2,4.4443,0,31,83,30,25,1,Right Cerebrum,Sub-lobar,Insula,Gray Matter,Brodmann area 13,1
84,3,40,83,51,-12,38,28,4.4252,0,13,84,-12,38,24,Left Cerebrum,Frontal Lobe,Medial Frontal Gyrus,Gray Matter,Brodmann area 9,0
85,3,55,82,36,18,36,-2,4.3661,0,14,85,18,35,-3,Right Cerebrum,Frontal Lobe,Medial Frontal Gyrus,Gray Matter,Brodmann area 10,5
86,3,58,86,49,24,44,24,4.2497,0,45,86,24,44,20,Right Cerebrum,Frontal Lobe,Superior Frontal Gyrus,Gray Matter,Brodmann area 10,2
87,3,59,59,56,26,-10,38,4.2104,0,31,87,26,-8,35,No Gray Matter found,,,,,
88,3,21,51,36,-50,-26,-2,4.1486,0,14,88,-50,-25,0,Left Cerebrum,Temporal Lobe,Superior Temporal Gyrus,Gray Matter,Brodmann area 21,1
89,3,59,24,47,26,-80,20,4.0893,0,11,89,26,-77,22,Right Cerebrum,Occipital Lobe,Cuneus,Gray Matter,Brodmann area 18,1
90,3,53,35,37,14,-58,0,4.0841,0,27,90,14,-56,3,Right Cerebrum,Occipital Lobe,Lingual Gyrus,Gray Matter,Brodmann area 18,1
91,3,39,77,43,-14,26,12,4.0464,0.0001,28,91,-14,26,10,Left Cerebrum,Sub-lobar,Caudate,Gray Matter,Caudate Body,4
92,3,35,79,36,-22,30,-2,4.0309,0.0001,13,92,-22,29,-3,Left Cerebrum,Frontal Lobe,Inferior Frontal Gyrus,Gray Matter,Brodmann area 47,4
93,3,67,32,23,42,-64,-28,3.9837,0.0001,14,93,42,-63,-20,Right Cerebellum,Posterior Lobe,Declive,Gray Matter,*,0
94,3,59,62,49,26,-4,24,3.9461,0.0001,15,94,26,-3,22,Right Cerebrum,Sub-lobar,Claustrum,Gray Matter,*,5
95,3,57,20,43,22,-88,12,3.6648,0.0002,10,95,22,-85,15,Right Cerebrum,Occipital Lobe,Middle Occipital Gyrus,Gray Matter,Brodmann area 18,2
96,3,60,74,46,28,20,18,3.3935,0.0007,10,96,28,20,16,Right Cerebrum,Sub-lobar,Claustrum,Gray Matter,*,3
97,3,30,69,63,-32,10,52,-5.8176,0,165,97,-32,12,47,Left Cerebrum,Frontal Lobe,Middle Frontal Gyrus,Gray Matter,Brodmann area 6,0
98,3,31,22,39,-30,-84,4,-5.2591,0,35,98,-30,-81,8,Left Cerebrum,Occipital Lobe,Middle Occipital Gyrus,Gray Matter,Brodmann area 19,2
99,3,21,37,43,-50,-54,12,-5.2524,0,14,99,-50,-52,14,Left Cerebrum,Temporal Lobe,Superior Temporal Gyrus,Gray Matter,Brodmann area 39,1
100,3,41,78,54,-10,28,34,-5.0088,0,10,100,-10,29,30,Left Cerebrum,Frontal Lobe,Medial Frontal Gyrus,Gray Matter,Brodmann area 9,0
101,3,30,71,53,-32,14,32,-4.9579,0,33,101,-32,15,29,Left Cerebrum,Frontal Lobe,Middle Frontal Gyrus,Gray Matter,Brodmann area 9,3
102,3,36,68,39,-20,8,4,-4.8273,0,18,102,-20,8,3,Left Cerebrum,Sub-lobar,Lentiform Nucleus,Gray Matter,Putamen,0
103,3,27,54,40,-38,-20,6,-4.6815,0,25,103,-38,-19,6,Left Cerebrum,Sub-lobar,Insula,Gray Matter,Brodmann area 13,0
104,3,45,72,48,-2,16,22,-4.4379,0,13,104,-2,17,19,Left Cerebrum,Limbic Lobe,Anterior Cingulate,Gray Matter,Brodmann area 33,2
105,3,54,49,28,16,-30,-18,-4.4208,0,19,105,16,-30,-14,Right Cerebellum,Anterior Lobe,Culmen,Gray Matter,*,0
106,3,54,81,59,16,34,44,-4.3618,0,24,106,16,35,39,Right Cerebrum,Frontal Lobe,Superior Frontal Gyrus,Gray Matter,Brodmann area 8,3
107,3,47,60,62,2,-8,50,-3.8943,0.0001,16,107,2,-5,46,Right Cerebrum,Limbic Lobe,Cingulate Gyrus,Gray Matter,Brodmann area 24,1
108,3,21,60,56,-50,-8,38,-3.6329,0.0003,12,108,-50,-6,35,Left Cerebrum,Frontal Lobe,Precentral Gyrus,Gray Matter,Brodmann area 6,0
,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
Source: /Users/mak127-ccn/Desktop/MFT_PLS/4_TR_analysis/behav_result.mat,,,,,,,,,,,,,,,,,,,,
"LV Idx: 2, Pos.Thresh: 3.2000, Neg.Thresh: -3.2000, Min Size: 10(voxels)",,,,,,,,,,,,,,,,,,,,
"Pos.Peak Thresh: 3.2000, Neg.Peak Thresh: -3.2000, Min Distance: 10.0mm",,,,,,,,,,,,,,,,,,,,
