subID, vignette, correct_answer, choice1, choice2, choice3, resp, RT, confresp, confRT
34,"	 You see a mother who is still breast-feeding her needy __."""," ""eight year old"""," ""nine year old"""," ""seven year old"""," ""eight year old""", 4$,2.30741, 3#,3.874016
34,"	 You see a girl taking all the Halloween candy from a __, leaving none for others."""," ""bowl"""," ""bowl"""," ""dish"""," ""bag""", 1!,3.400498, 3#,4.219049
34,"	 You see a woman accidentally knocking over a child while __ on her cell phone."""," ""talking"""," ""talking"""," ""playing a game"""," ""texting""", 4$,2.775776, 3#,3.953265
34,"	 You see a US __ cheering as a Chinese foe beats his teammate to win the gold."""," ""swimmer"""," ""wrestler"""," ""swimmer"""," ""gymnast""", 2@,6.269671, 1!,7.852133
34,"	 You see a __ calling the president a nasty name in the middle of a speech."""," ""reporter"""," ""newscaster"""," ""reporter"""," ""bystander""", 4$,3.146315, 3#,3.94712
34,"	 You see a star player ignoring her coach's order to come to the bench during __."""," ""a game"""," ""a time out"""," ""a game"""," ""practice""", 2@,4.433248, 2@,5.276941
34,"	 You see a teaching assistant talking back to the teacher in front of the __."""," ""classroom"""," ""students"""," ""kindergarten class"""," ""classroom""", 1!,3.242505, 3#,4.058754
34,"	 You see children ignoring their __ orders to get ready to go to school."""," ""mom's"""," ""dad's"""," ""grandmother's"""," ""mom's""", 4$,4.394197, 3#,5.340143
34,"	 You see a woman __ with the word ""goodbye"" instead of ""hello."""""," ""answering a phone call"""," ""typing an e-mail"""," ""beginning a letter"""," ""answering a phone call""", 1!,3.752369, 1!,10.33266
34,"	 You see a woman tripping someone in order to get the last __ in her size."""," ""shirt"""," ""jacket"""," ""shirt"""," ""pair of shoes""", 4$,4.550148, 3#,5.396795
34,"	 You see a woman having intimate relations with a recently deceased __."""," ""loved one"""," ""stranger"""," ""close friend"""," ""loved one""", 3#,3.715984, 3#,5.980548
34,"	 You see a man quickly canceling a blind date as soon as he __ ."""," ""sees the woman"""," ""sees her profile picture"""," ""learns she's overweight"""," ""sees the woman""", 3#,3.904333, 3#,4.808447
34,"	 You see a __ saying that the neighboring town is a much better town."""," ""mayor"""," ""mayor"""," ""sheriff"""," ""city official""", 1!,4.987801, 2@,6.135086
34,"	 You see a student getting an A on a group project when he didn't __."""," ""do his part"""," ""contribute anything"""," ""do his part"""," ""deserve it""", 2@,6.887739, 3#,8.18231
34,"	 You see boys making fun of a girl's tattered clothes as she __."""," ""boards the bus"""," ""enters the lunchroom"""," ""sits at her desk"""," ""boards the bus""", 4$,3.211338, 3#,4.077405
34,"	 You see a woman laughing with her friend about __ of her family members."""," ""the poor taste"""," ""embarrassing stories"""," ""the poor taste"""," ""the silly traditions""", 4$,4.398056, 3#,5.210382
34,"	 You see a mother telling her son that she is going to choose all of his __ ."""," ""friends"""," ""friends"""," ""outfits"""," ""classes""", 1!,2.943343, 3#,3.833482
34,"	 You see a man telling his girlfriend that she must __."""," ""convert to his religion"""," ""convert to his religion"""," ""vote a certain way"""," ""quit her job""", 1!,3.709829, 3#,5.207117
34,"	 You see a boy turning up the __ as his father talks about his military service."""," ""TV"""," ""radio"""," ""TV"""," ""volume""", 2@,4.519178, 3#,6.238215
34,"	 You see a woman taking credit at work for an idea she overheard __."""," ""at lunch"""," ""in the hall"""," ""at lunch"""," ""in the break room""", 4$,2.636806, 3#,3.530421
34,"	 You see a __ trying to ban student dances held at public schools."""," ""community leader"""," ""PTA member"""," ""city councilman"""," ""community leader""", 4$,6.353904, 3#,7.181198
34,"	 You see a man searching through the trash to find women's discarded __."""," ""underwear"""," ""underwear"""," ""pantyhose"""," ""lingerie""", 1!,2.479069, 3#,4.174752
34,"	 You see a young boy teasing another boy because his father recently __."""," ""passed away"""," ""was deployed overseas"""," ""passed away"""," ""divorced his mother""", 4$,3.147944, 3#,4.089312
34,"	 You see a teenage girl coming home late and ignoring her parents' __."""," ""strict curfew"""," ""text messages"""," ""strict curfew"""," ""questions""", 2@,2.854762, 3#,3.650448
34,"	 You see a teenager wearing all of their clothes inside out while __."""," ""at a movie theater"""," ""at a movie theater"""," ""at the library"""," ""at the mall""", 4$,6.143291, 3#,6.975961
34,"	 You see a Hollywood star agreeing with a foreign __ denunciation of the US."""," ""dictator's"""," ""tyrant's"""," ""dictator's"""," ""leader's""", 2@,2.969935, 3#,3.79472
34,"	 You see a girl repeatedly interrupting her __ as he explains a new concept."""," ""teacher"""," ""tutor"""," ""teacher"""," ""professor""", 2@,5.084098, 2@,5.840384
34,"	 You see a very drunk woman dancing on a table while men laugh and __."""," ""cheer her on"""," ""take pictures"""," ""cheer her on"""," ""buy her drinks""", 4$,2.781632, 3#,4.005784
34,"	 You see a boss requiring that she gets access to her employees' __ accounts."""," ""Facebook"""," ""Gmail"""," ""Facebook"""," ""Twitter""", 4$,4.887629, 3#,5.692535
34,"	 You see a Brazilian at the World Cup cheering for __ to win every medal."""," ""Germany"""," ""Portugal"""," ""Britain"""," ""Germany""", 4$,2.284449, 3#,3.159811
34,"	 You see a man loudly telling his wife that the __ tastes awful."""," ""dinner she cooked"""," ""dinner she cooked"""," ""breakfast she prepared"""," ""cake she baked""", 1!,3.831312, 3#,4.676605
34,"	 You see a woman lying about the number of __ days she has taken at work."""," ""vacation"""," ""personal"""," ""vacation"""," ""sick""", 2@,2.804177, 3#,3.537421
34,"	 You see a young adult openly refusing to follow __ dress code."""," ""her school's"""," ""her workplace's"""," ""her school's"""," ""her religion's""", 4$,10.525282, 2@,12.334838
34,"	 You see a player publicly yelling at his soccer coach during __ game."""," ""a play-off"""," ""an all-star"""," ""a tournament"""," ""a play-off""", 2@,4.870465, 2@,5.912686
34,"	 You see a father requiring his son to become a __ like him."""," ""commercial airline pilot"""," ""chemical engineer"""," ""commercial airline pilot"""," ""corporate entrepreneur""", 2@,3.266975, 3#,4.360815
34,"	 You see a drunk elderly man offering to __ with anyone at the bar."""," ""have oral sex"""," ""have oral sex"""," ""cuddle"""," ""make out""", 1!,2.998311, 3#,4.630199
34,"	 You see a man blocking his wife from leaving home or __."""," ""interacting with others"""," ""having a job"""," ""interacting with others"""," ""watching the news""", 4$,9.281787, 1!,11.101953
34,"	 You see a student talking back to the __ in front of the classroom."""," ""principal"""," ""principal"""," ""teacher"""," ""superintendent""", 2@,5.438296, 1!,8.66546
34,"	 You see a story about a remote tribe eating the __ of their deceased members."""," ""flesh"""," ""eyes"""," ""brains"""," ""flesh""", 3#,3.859142, 3#,4.677695
34,"	 You see a woman commenting out loud about how fat another woman looks in her __ ."""," ""jeans"""," ""jeans"""," ""swimsuit"""," ""skirt""", 1!,2.939491, 3#,3.843346
34,"	 You see a woman __ before her main entree arrives on the table."""," ""eating dessert"""," ""having a breath mint"""," ""eating dessert"""," ""paying for her meal""", 2@,3.46788, 3#,4.199348
34,"	 You see a man putting __ all over his chicken Caesar salad while at lunch."""," ""ketchup"""," ""mustard"""," ""ketchup"""," ""mayonnaise""", 4$,8.797685, 3#,9.684677
34,"	 You see a boss pressuring employees to buy __ from her family's general store."""," ""goods"""," ""goods"""," ""groceries"""," ""products""", 2@,5.634495, 2@,6.426262
34,"	 You see the class __ saying on TV that her rival college is a better school."""," ""president"""," ""president"""," ""treasurer"""," ""secretary""", 1!,3.641862, 3#,4.439725
34,"	 You see a teacher publicly saying she hopes another school wins the __."""," ""math contest"""," ""science fair"""," ""math contest"""," ""quiz bowl""", 2@,3.925093, 2@,4.753617
34,"	 You see a man purposely stepping hard on the foot of someone who __ ."""," ""is in his way"""," ""took his seat"""," ""got on his nerves"""," ""is in his way""", 4$,3.765672, 3#,4.819278
34,"	 You see a man spending several hours at a strip club every day right after __."""," ""work"""," ""work"""," ""class"""," ""dinner""", 4$,2.423275, 3#,3.173118
34,"	 You see a teacher ordering a student to go __ for having a weird hairstyle."""," ""to detention"""," ""to the principal's office"""," ""home"""," ""to detention""", 4$,5.632675, 3#,6.48305
34,"	 You see a boy setting a series of traps to kill stray cats in his __."""," ""neighborhood"""," ""garage"""," ""neighborhood"""," ""backyard""", 2@,3.311957, 4$,4.965865
34,"	 You see a man wearing __ with socks that clearly do not match each other."""," ""a suit"""," ""sandals"""," ""a suit"""," ""pants""", 4$,3.322642, 3#,4.271874
34,"	 You see a boy telling a woman that she looks just like her overweight __ ."""," ""bulldog"""," ""pug"""," ""beagle"""," ""bulldog""", 3#,3.734979, 3#,4.582465
34,"	 You see a man pushing someone to the ground while trying to __."""," ""catch a foul ball"""," ""catch a foul ball"""," ""see the parade"""," ""see the band""", 4$,3.922912, 3#,4.788138
34,"	 You see a boy spray-painting __ symbols on the side of the police station."""," ""anarchy"""," ""anarchy"""," ""dirty"""," ""gang""", 1!,2.106905, 3#,3.232853
34,"	 You see a public leader on TV trying to ban the wearing of __."""," ""hooded sweatshirts"""," ""baseball caps"""," ""hooded sweatshirts"""," ""baggy pants""", 2@,3.242146, 3#,3.927774
34,"	 You see a man elbowing someone as he struggles to get __ quickly."""," ""off the plane"""," ""off the plane"""," ""out the door"""," ""out of the elevator""", 4$,3.672942, 3#,4.433265
34,"	 You see a teenage girl openly staring at a __ as she walks past."""," ""disfigured woman"""," ""disfigured woman"""," ""very large person"""," ""burn victim""", 1!,2.41148, 3#,3.165846
34,"	 You see a woman collecting child support for a __ who no longer lives with her."""," ""girl"""," ""girl"""," ""teenager"""," ""child""", 4$,3.620979, 3#,4.628339
34,"	 You see a woman pressuring her daughter to become a famous __."""," ""evening news anchor"""," ""ice skater"""," ""evening news anchor"""," ""ballet dancer""", 2@,3.790384, 3#,4.762115
34,"	 You see __ joking in Great Britain about the stupidity of Americans."""," ""the US ambassador"""," ""a US politician"""," ""a US diplomat"""," ""the US ambassador""", 2@,4.689425, 2@,5.438561
34,"	 You see a man walking down the street wearing a neon green suit with __."""," ""a top hat"""," ""cowboy boots"""," ""a top hat"""," ""a long cape""", 4$,2.764254, 3#,3.604825
34,"	 You see the coach's wife __ for her husband's rival team."""," ""sponsoring a bake sale"""," ""raising money"""," ""cheering loudly"""," ""sponsoring a bake sale""", 3#,8.232477, 1!,9.19937
34,"	 You see a woman driving recklessly through a school zone to __."""," ""make a meeting"""," ""make an appointment"""," ""get to a luncheon"""," ""make a meeting""", 4$,2.341319, 3#,3.195693
34,"	 You see a man turn his back and walk away while his boss questions his __."""," ""work"""," ""ideas"""," ""work"""," ""attitude""", 4$,5.596651, 1!,6.423364
34,"	 You see a campaign manager cheering as an opponent pulls ahead to win the __."""," ""election"""," ""popular vote"""," ""race"""," ""election""", 4$,3.135, 3#,3.934258
