subID, vignette,correct_answer, choice1, choice2, choice3, resp, RT, confresp, confRT
2," ""You see a man laughing at a disabled co-worker while at an office __."""," ""softball game""",beach retreat,charity run,softball game, 4$,5.954078, 2@,7.962829
2," ""You see a man leaving his family business to go work __."""," ""for their main competitor""",for their main competitor,for a start-up,somewhere that pays better, 3#,8.622675, 2@,10.130134
2," ""You see a man loudly telling his wife that the __ tastes awful."""," ""dinner she cooked""",cake she baked,breakfast she prepared,dinner she cooked, 4$,5.09197, 1!,8.988167
2," ""You see a man moving multiple __ pieces while his opponent is distracted."""," ""chess""",backgammon,chess,checkers, 4$,4.911539, 3#,6.313163
2," ""You see a man purposely stepping hard on the foot of someone who __ ."""," ""is in his way""",got on his nerves,is in his way,took his seat, 4$,7.446504, 2@,9.406005
2," ""You see a man pushing someone to the ground while trying to __."""," ""catch a foul ball""",catch a foul ball,see the band,see the parade, 4$,4.926758, 2@,8.295387
2," ""You see a man putting __ all over his chicken Caesar salad while at lunch."""," ""ketchup""",mayonnaise,ketchup,mustard, 2@,4.695805, 3#,6.350731
2," ""You see a man quickly canceling a blind date as soon as he __ ."""," ""sees the woman""",sees the woman,learns she's overweight,sees her profile picture, 4$,11.609043, 2@,16.228878
2," ""You see a man refusing to allow his daughter to participate in any __."""," ""type of sports""",after school clubs,type of sports,co-ed activities, 4$,11.41718, 1!,12.672883
2," ""You see a man searching through the trash to find women's discarded __."""," ""underwear""",pantyhose,lingerie,underwear, 3#,6.345228, 3#,7.762791
2," ""You see a man spending several hours at a strip club every day right after __."""," ""work""",class,work,dinner, 2@,8.133502, 1!,9.469917
2," ""You see a man staying inside his home with the __ on a rare sunny day."""," ""shades drawn""",lights off,curtains closed,shades drawn, 1!,8.909656, 1!,10.289746
2," ""You see a man telling a woman that her painting looks like it __."""," ""was done by children""",belongs in the closet,was done by children,is beginner's work, 2@,7.527304, 1!,8.784382
2," ""You see a man telling his __ that she has to switch to his political party."""," ""fiancee""",wife,fiancee,girlfriend, 1!,6.507515, 3#,7.849093
2," ""You see a man telling his girlfriend that she must __."""," ""convert to his religion""",vote a certain way,convert to his religion,quit her job, 2@,5.145919, 2@,7.646674
2," ""You see a man turn his back and walk away while his boss questions his __."""," ""work""",work,ideas,attitude, 1!,8.313122, 2@,9.787479
