Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Range (mm)	Appended Data
51	22.0	-78.0	-5.0	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	1	
52	22.0	-66.0	2.0	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	*	0	
53	-26.0	-39.0	30.0	No Gray Matter found						
54	18.0	18.0	6.0	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	0	
55	-40.0	17.0	36.0	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 9	0	
56	20.0	-64.0	44.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	0	
57	24.0	0.0	37.0	No Gray Matter found						
58	-28.0	-14.0	27.0	No Gray Matter found						
59	30.0	-45.0	-6.0	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 19	1	
60	-26.0	-74.0	-11.0	Left Cerebrum	Occipital Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 19	0	
61	-28.0	-49.0	-11.0	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	0	
62	-18.0	-31.0	46.0	Left Cerebrum	Frontal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 5	2	
63	22.0	19.0	27.0	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 32	5	
64	28.0	3.0	24.0	No Gray Matter found						
65	-22.0	-30.0	64.0	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	1	
66	32.0	26.0	48.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	0	
67	36.0	7.0	57.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	1	
68	-18.0	41.0	46.0	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	2	
69	10.0	-35.0	-3.0	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	2	
70	-36.0	7.0	25.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	1	
71	-46.0	34.0	15.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 46	0	
72	-28.0	-7.0	-18.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	0	
73	-55.0	-56.0	10.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	0	
74	6.0	0.0	-5.0	Right Cerebrum	Sub-lobar	*	Gray Matter	Hypothalamus	2	
75	57.0	-50.0	4.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 22	3	
76	2.0	-49.0	26.0	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	1	
77	40.0	-55.0	36.0	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	2	
78	-57.0	-16.0	-8.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	0	
79	-16.0	-4.0	33.0	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	5	
80	-42.0	-62.0	45.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
81	18.0	27.0	37.0	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	0	
82	-16.0	-24.0	58.0	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	1	
83	55.0	-10.0	4.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	2	
84	-28.0	-58.0	1.0	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 19	1	
85	46.0	-68.0	-2.0	Right Cerebrum	Occipital Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 37	2	
86	-8.0	23.0	1.0	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Head	2	
87	-32.0	20.0	41.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	1	
88	-53.0	-35.0	-2.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	*	3	
89	16.0	-84.0	-6.0	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	1	
90	-26.0	-15.0	47.0	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	3	
91	-16.0	-30.0	-20.0	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	1	
92	8.0	-37.0	-10.0	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	0	
93	32.0	-82.0	-6.0	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 18	1	
94	57.0	-6.0	-13.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	2	
95	-14.0	33.0	43.0	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 8	2	
96	-44.0	35.0	7.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 46	3	
97	-34.0	-12.0	-6.0	Left Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	0	
98	44.0	32.0	9.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 46	1	
99	-57.0	-35.0	44.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
100	-50.0	-54.0	8.0	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 39	2	
101	-4.0	-8.0	-8.0	Left Brainstem	Midbrain	*	Gray Matter	Mammillary Body	1	
102	-6.0	-28.0	-7.0	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	5	
103	-57.0	13.0	23.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 45	2	
104	-42.0	-78.0	28.0	Left Cerebrum	Occipital Lobe	Superior Occipital Gyrus	Gray Matter	Brodmann area 19	0	
105	22.0	-43.0	4.0	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 30	5	
106	8.0	0.0	2.0	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Head	2	
107	18.0	-5.0	-17.0	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	0	
108	63.0	-29.0	36.0	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
109	28.0	-23.0	-1.0	Right Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	2	
110	-34.0	-41.0	-8.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 37	0	
111	36.0	9.0	-9.0	Right Cerebrum	Sub-lobar	Extra-Nuclear	Gray Matter	Brodmann area 13	1	
112	-4.0	-41.0	33.0	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	1	
113	28.0	-23.0	42.0	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	3	
114	16.0	0.0	39.0	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	3	
115	-55.0	-10.0	-11.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	3	
116	-44.0	-61.0	33.0	Left Cerebrum	Parietal Lobe	Angular Gyrus	Gray Matter	Brodmann area 39	2	
117	-55.0	-6.0	26.0	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	2	
118	-36.0	-24.0	18.0	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	0	
119	-22.0	-70.0	0.0	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	*	1	
120	-14.0	0.0	39.0	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	3	
121	30.0	-28.0	18.0	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	0	
122	-20.0	-30.0	59.0	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	1	
123	50.0	-64.0	-2.0	Right Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 19	1	
124	-53.0	-35.0	-2.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	*	3	
125	20.0	19.0	21.0	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	5	
126	40.0	-73.0	9.0	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	1	
127	57.0	-9.0	-15.0	Right Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 21	0	
128	-8.0	-57.0	-9.0	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	0	
129	-26.0	-63.0	25.0	Left Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Brodmann area 39	5	
130	16.0	-84.0	-8.0	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	1	
131	-32.0	-5.0	-17.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	2	
132	-42.0	35.0	7.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 46	3	
133	-55.0	-58.0	7.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	2	
134	50.0	29.0	4.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 45	2	
135	-57.0	-41.0	44.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
136	-38.0	-80.0	33.0	Left Cerebrum	Occipital Lobe	Superior Occipital Gyrus	Gray Matter	Brodmann area 19	0	
137	6.0	2.0	0.0	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Head	0	
138	24.0	-38.0	7.0	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 30	2	
139	30.0	-1.0	-20.0	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	2	
140	-61.0	-44.0	21.0	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	2	
141	2.0	5.0	27.0	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	2	
142	-42.0	-49.0	-9.0	Left Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 37	3	
143	20.0	-10.0	-11.0	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	1	
144	-8.0	-27.0	-4.0	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	*	4	
145	28.0	-23.0	-2.0	Right Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	2	
146	24.0	-37.0	-3.0	Right Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Hippocampus	3	
147	42.0	-51.0	-11.0	Right Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 37	4	
148	61.0	1.0	11.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	0	
149	12.0	-32.0	57.0	Right Cerebrum	Frontal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 6	4	
150	2.0	-60.0	44.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	1	
151	2.0	-58.0	-2.0	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	0	
152	-38.0	-24.0	18.0	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	1	
153	6.0	-43.0	-3.0	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	0	
154	48.0	-28.0	20.0	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	2	
155	-50.0	-15.0	6.0	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	1	
156	-36.0	-54.0	43.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
157	38.0	-9.0	6.0	Right Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	1	
158	14.0	-6.0	37.0	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	1	
159	-51.0	-5.0	-13.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	2	
160	-24.0	-45.0	-13.0	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	0	
161	-18.0	-86.0	-6.0	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	1	
162	-26.0	-32.0	57.0	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 3	0	
163	-12.0	2.0	42.0	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	1	
164	16.0	-18.0	58.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	5	
165	20.0	-44.0	46.0	Right Cerebrum	Parietal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 5	2	
166	20.0	29.0	39.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	1	
167	34.0	-73.0	11.0	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	5	
168	46.0	-70.0	42.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 19	2	
169	26.0	15.0	25.0	No Gray Matter found						
170	48.0	-66.0	0.0	Right Cerebrum	Occipital Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 37	0	
171	16.0	14.0	44.0	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 32	2	
172	-28.0	-39.0	26.0	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	5	
173	-57.0	-8.0	26.0	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	1	
174	-32.0	-5.0	-18.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	2	
175	6.0	5.0	15.0	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	2	
176	48.0	29.0	2.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 45	3	
177	16.0	-42.0	8.0	Right Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 29	3	
178	-46.0	40.0	18.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 46	0	
179	-46.0	31.0	6.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 46	4	
180	26.0	-56.0	14.0	Right Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 30	5	
181	-26.0	-27.0	5.0	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	*	1	
182	16.0	-45.0	34.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 31	0	
183	24.0	15.0	23.0	No Gray Matter found						
184	61.0	-1.0	11.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	0	
185	-12.0	2.0	42.0	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	1	
186	16.0	-31.0	73.0	No Gray Matter found						
187	14.0	-18.0	58.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	5	
188	22.0	-79.0	46.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	1	
189	16.0	16.0	42.0	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 32	4	
190	-30.0	-5.0	-20.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	2	
191	8.0	4.0	11.0	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	0	
192	32.0	3.0	-17.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 38	0	
193	-4.0	2.0	-3.0	Left Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 25	1	
194	-16.0	-15.0	3.0	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	*	0	
195	22.0	-23.0	-2.0	Right Cerebrum	Sub-lobar	*	Gray Matter	Lateral Geniculum Body	0	
196	-32.0	-14.0	-6.0	Left Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	2	
197	-4.0	-18.0	32.0	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 23	0	
198	53.0	-39.0	0.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 22	3	

